CustomerID,name,category,type,country,category
35200,10 Ports Monthly,rotate,de-rotate,de,rotate
47037,10 ports Monthly,static,us-static,us,static
51755,5 Port Proxy Plan,semi-3,us-semi-3,us,semi-3
55801,25 Ports Monthly,static,us-static,us,static
65531,10 ports Monthly,static,us-static,us,static
65678,10 ports Monthly,static,us-static,us,static
73770,50 Ports Monthly,semi-3,us-semi-3,us,semi-3
77690,10 ports Monthly,static,us-static,us,static
16377,5 Ports Monthly,static,us-static,us,static
89646,50 Ports Monthly,semi-3,us-semi-3,us,semi-3
90192,5 Port Proxy Plan,semi-3,us-semi-3,us,semi-3
92551,25 Ports Monthly,semi-3,us-semi-3,us,semi-3
92565,25 Ports Monthly,static,us-static,us,static
94560,5 Ports Monthly,static,us-static,us,static
96275,No Plan Selected,rotate,standard,us,semi-3
24168,5 Ports Monthly,static,de-static,de,static
16111,50 Ports Monthly,static,us-static,us,static
16314,No Plan Selected,rotate,standard,us,static
16314,No Plan Selected,rotate,standard,us,semi-3
94357,1000 Ports Monthly,semi-3,us-semi-3,us,semi-3
16615,5 Ports Monthly,static,us-static,us,static
17203,25 Ports Monthly,rotate,de-rotate,de,rotate
18785,10 ports Monthly,static,us-static,us,static
20647,No Plan Selected,rotate,standard,us,static
21613,No Plan Selected,rotate,standard,us,rotate
22985,No Plan Selected,rotate,standard,us,static
24973,No Plan Selected,rotate,standard,us,static
87329,50 Ports Monthly,semi-3,us-semi-3,us,semi-3
26912,No Plan Selected,rotate,standard,us,static
18778,No Plan Selected,rotate,standard,us,static
29824,No Plan Selected,rotate,standard,us,static
29943,No Plan Selected,rotate,standard,us,rotate
30062,No Plan Selected,rotate,standard,us,static
30118,No Plan Selected,rotate,standard,us,static
15040,No Plan Selected,rotate,standard,us,static
49522,No Plan Selected,rotate,standard,us,static
25953,No Plan Selected,rotate,standard,us,static
110562,No Plan Selected,rotate,standard,us,static
111101,No Plan Selected,rotate,standard,us,rotate
67260,No Plan Selected,rotate,standard,us,static
113628,No Plan Selected,rotate,standard,us,semi-3
113992,No Plan Selected,rotate,standard,us,static
92453,No Plan Selected,rotate,standard,us,static
111724,No Plan Selected,rotate,standard,de,static
66210,No Plan Selected,rotate,standard,br,semi-3
50411,100 Ports Monthly,static,us-static,us,static
116855,No Plan Selected,rotate,standard,de,static
82625,No Plan Selected,rotate,standard,us,static
116925,No Plan Selected,rotate,standard,us,static
24168,No Plan Selected,rotate,standard,us,static
119109,No Plan Selected,rotate,standard,us,static
31798,No Plan Selected,rotate,standard,us,static
119214,No Plan Selected,rotate,standard,us,static
118472,No Plan Selected,rotate,standard,us,rotate
32771,No Plan Selected,rotate,standard,us,rotate
127803,No Plan Selected,rotate,standard,us,static
127936,No Plan Selected,rotate,standard,us,static
128188,No Plan Selected,rotate,standard,us,static
115329,No Plan Selected,rotate,standard,us,semi-3
128468,No Plan Selected,rotate,standard,us,semi-3
128720,No Plan Selected,rotate,standard,us,rotate
129203,No Plan Selected,rotate,standard,us,static
117338,No Plan Selected,rotate,standard,us,static
128755,No Plan Selected,rotate,standard,de,static
29992,No Plan Selected,rotate,standard,de,static
