userid,country_code,orders,revenue,tenure,unique_product,client_status
101567,PT,1,72,1167,1,Inactive
105928,US,1,270,1215,1,Inactive
106684,US,1,288,975,1,Inactive
107013,ES,2,280.08,2307,2,Inactive
107468,IT,1,72,1152,1,Inactive
107552,IT,2,534,1840,2,Inactive
10868,US,2,960,2107,1,Inactive
108819,US,1,696,868,1,Inactive
109043,SK,1,34.2,871,1,Inactive
109085,DE,1,192,1124,1,Inactive
109393,PL,3,977.28,2400,3,Inactive
109463,BR,3,1920,2854,3,Active
109673,US,1,252,1093,1,Active
110065,UA,1,36,1087,1,Inactive
110562,CZ,1,136.8,1132,1,Inactive
110905,VN,2,367.2,1654,2,Inactive
110989,NG,1,36,848,1,Inactive
111052,US,1,216,1142,1,Active
111101,CN,1,239.4,906,1,Inactive
111283,US,1,240,1136,1,Active
111514,SA,1,2520,918,1,Active
111682,GB,1,120,976,1,Inactive
111724,US,1,132,990,1,Active
111962,US,2,625.44,1919,2,Inactive
112480,RU,4,768,3851,4,Active
112627,GB,2,2928,2240,2,Active
113530,US,1,1140,1015,1,Inactive
113572,PL,7,618,7298,7,Inactive
113628,TH,1,102,1084,1,Inactive
113775,AU,1,273.6,1029,1,Inactive
113831,AU,1,28.2,1056,1,Inactive
113964,CN,1,273.6,873,1,Inactive
113992,CA,1,330.6,836,1,Inactive
114279,VN,1,192,767,1,Active
114902,IN,1,132,943,1,Active
115329,NL,1,288,1067,1,Active
115854,BR,2,120,1605,2,Inactive
116057,US,1,132,1068,1,Inactive
116855,DE,1,96,905,1,Inactive
116925,ES,1,24,1012,1,Inactive
116953,SE,1,33.6,776,1,Inactive
117044,DE,1,36,831,1,Inactive
117121,HK,1,417.6,982,1,Active
117338,US,1,595.08,882,1,Inactive
117716,MX,1,1368,781,1,Inactive
117954,US,1,68.4,792,1,Inactive
118101,DE,1,456,826,1,Active
118213,CA,2,2348.4,1836,2,Inactive
118339,DE,1,150,780,1,Inactive
118472,US,21,7144.32,19254,5,Active
118703,GE,1,793.44,1106,1,Inactive
118766,VN,2,656.64,1923,2,Inactive
118815,GB,5,2532,5115,5,Inactive
118941,MX,1,236.88,794,1,Inactive
119102,BR,1,84,988,1,Inactive
119109,CA,1,132,1087,1,Active
119214,US,1,288,1081,1,Inactive
120453,US,1,1368,989,1,Inactive
120516,DE,1,180,753,1,Inactive
12457,US,1,1140,1057,1,Active
127747,US,1,72,886,1,Active
127803,US,1,144,958,1,Inactive
127936,US,2,312,1880,2,Inactive
128188,US,1,68.4,832,1,Inactive
128342,VN,1,56.4,804,1,Inactive
128468,RU,1,30,743,1,Inactive
128720,US,1,132,992,1,Inactive
128755,US,1,91.2,754,1,Active
128825,MT,1,72,853,1,Inactive
12884,US,1,1140,976,1,Inactive
128846,AU,1,72,816,1,Inactive
129105,IN,1,72,926,1,Inactive
129203,AU,1,144,810,1,Inactive
129679,AU,1,30,999,1,Active
129875,DE,1,36,983,1,Inactive
130085,GR,1,72,847,1,Inactive
130393,DE,2,1500,1706,2,Active
130547,ES,1,4680,972,1,Inactive
130729,DE,1,468,717,1,Inactive
131394,CA,1,72,767,1,Inactive
131625,UA,2,0,2044,2,Active
131695,TR,2,331.2,1830,2,Inactive
1320,US,1,708,1191,1,Active
132164,PL,1,144,910,1,Active
132388,US,1,67.68,784,1,Inactive
132591,RU,1,396,802,1,Active
132885,US,1,1190.16,1051,1,Inactive
133039,GB,3,195.36,3134,3,Active
133312,PL,1,68.4,794,1,Inactive
133403,DE,1,1896,777,1,Inactive
133669,US,2,58.6,1406,1,Inactive
134012,DE,1,156,1026,1,Inactive
134061,CA,1,78,877,1,Active
134173,VN,2,656.64,1715,2,Active
134250,DE,1,28.2,1006,1,Inactive
134320,LT,1,96,863,1,Inactive
134502,JP,2,421.2,1626,2,Active
134586,BG,1,72,1061,1,Active
134775,IN,1,84,742,1,Inactive
135027,US,2,1488.24,1924,2,Inactive
135181,US,2,100.6,2049,2,Active
135188,AU,2,197.4,1690,2,Active
135307,US,1,72,781,1,Inactive
135377,VN,4,739.2,3318,4,Active
135405,US,1,696,850,1,Inactive
135580,US,1,96,865,1,Active
135587,US,1,252,782,1,Inactive
135783,PT,1,36,739,1,Active
136140,HK,2,416.64,1456,2,Active
136196,US,1,72,969,1,Inactive
136245,US,1,4674,716,1,Inactive
136483,BR,1,204,874,1,Inactive
136644,CA,1,396.72,983,1,Active
136651,US,1,136.8,909,1,Inactive
136882,ES,2,793.68,1877,2,Active
137085,IT,1,136.8,965,1,Inactive
13710,US,1,853.2,1046,1,Inactive
137407,US,1,156,851,1,Active
137568,PH,1,90,695,1,Inactive
137778,BR,2,150,1483,2,Active
137813,HK,1,1641.6,785,1,Inactive
137862,PK,1,1299.6,720,1,Active
137988,IT,1,60,828,1,Inactive
138072,MA,1,96,714,1,Active
138100,US,1,132,1017,1,Active
138800,BR,1,96,753,1,Inactive
139528,IN,2,465.12,1587,2,Inactive
139535,GB,1,28.2,799,1,Inactive
139864,MY,1,54.72,697,1,Inactive
139962,US,1,68.4,915,1,Inactive
140186,PH,2,108,1610,2,Inactive
140291,US,1,72,843,1,Inactive
140424,US,1,72,670,1,Inactive
140718,SE,1,175.56,878,1,Inactive
140781,PL,1,84,798,1,Active
140914,US,1,68.4,666,1,Inactive
141054,CA,1,30,926,1,Inactive
141194,VN,2,230.4,1586,2,Inactive
141229,GB,1,120,907,1,Active
141782,US,1,468,878,1,Active
14179,US,1,90,972,1,Active
141817,TH,1,72,746,1,Inactive
141880,NG,1,100.8,667,1,Inactive
14214,US,2,204,2142,2,Inactive
142209,US,1,780,675,1,Active
142251,US,1,72,978,1,Active
142293,JP,3,1951.2,2608,3,Active
142342,SG,1,72,790,1,Inactive
142580,RU,1,96,987,1,Inactive
142608,US,3,242.88,2481,2,Active
142671,IT,1,72,847,1,Active
142678,US,1,1200,917,1,Inactive
142720,US,1,68.4,997,1,Inactive
142727,US,1,86.4,882,1,Inactive
1432,US,1,360,1440,1,Inactive
143476,CA,1,156,827,1,Inactive
143511,US,1,72,760,1,Inactive
143581,DE,1,96,875,1,Inactive
14361,US,3,352.8,3452,3,Active
144085,MX,1,72,734,1,Inactive
144232,CH,1,67.68,663,1,Inactive
144736,US,1,30,852,1,Inactive
145072,LT,2,324,1680,2,Inactive
145114,DE,1,96,820,1,Inactive
145618,US,1,81.24,723,1,Inactive
145737,BG,2,204,1430,2,Inactive
145849,RU,2,516.6,1591,2,Active
145919,US,1,72,643,1,Active
146528,GB,1,72,909,1,Inactive
146871,UY,1,403.2,758,1,Inactive
146990,US,1,135.36,736,1,Inactive
147067,GB,1,86.4,792,1,Inactive
147074,PL,3,561.6,2296,3,Inactive
147102,SG,2,1091.16,1573,2,Inactive
147151,BE,1,1368,728,1,Inactive
147228,JP,1,1297.2,880,1,Inactive
147263,RU,1,2400,994,1,Active
147438,US,1,120,831,1,Active
147830,NL,1,403.2,653,1,Active
147991,US,1,205.2,677,1,Inactive
148033,JP,1,3316.32,872,1,Inactive
148138,CN,1,28.56,635,1,Active
148145,JP,1,135.36,672,1,Inactive
148152,CZ,2,139.2,1848,2,Inactive
148236,US,1,67.68,744,1,Inactive
148334,DE,2,672,1488,2,Inactive
148383,US,1,252,662,1,Active
148537,US,1,974.4,636,1,Inactive
148656,CN,1,144,648,1,Inactive
148691,JP,1,327.12,715,1,Inactive
148698,JP,1,696,939,1,Active
148789,US,1,132,668,1,Active
149020,US,1,240,973,1,Inactive
149027,BR,1,36,640,1,Inactive
149398,JP,1,1037.76,914,1,Inactive
149461,US,1,82.08,829,1,Inactive
149622,JP,3,275.76,2859,2,Inactive
149769,PK,2,670.32,1627,2,Inactive
149790,US,1,132,744,1,Inactive
149986,US,1,396.72,830,1,Inactive
150056,US,1,72,931,1,Inactive
150098,US,1,72,662,1,Inactive
150168,US,1,592,904,1,Inactive
15040,PT,1,473.28,1086,1,Inactive
150469,US,3,341.4,2512,3,Inactive
150539,US,2,243,1329,2,Inactive
150798,JP,1,30,824,1,Active
151232,VN,1,136.8,692,1,Inactive
151526,US,1,270,955,1,Inactive
151631,GB,1,144,977,1,Active
152940,IL,1,36,820,1,Inactive
153087,GB,1,378,853,1,Inactive
153423,JP,1,72,663,1,Active
153444,DE,2,276,1488,2,Inactive
153521,HK,2,1248,1426,2,Inactive
153528,US,1,57,653,1,Inactive
153535,US,1,30,966,1,Inactive
15376,US,3,3246,3285,2,Active
154508,US,1,537.6,904,1,Active
154634,VN,1,288,649,1,Inactive
154998,DE,7,1608.96,5988,7,Inactive
155264,IL,2,403.44,1508,2,Inactive
155453,US,1,72,631,1,Inactive
155943,US,1,376.2,703,1,Inactive
15621,US,1,132,1176,1,Active
156398,TH,1,136.8,942,1,Inactive
156433,AU,1,273.6,966,1,Active
157000,US,1,72,784,1,Inactive
157525,US,1,72,764,1,Inactive
157546,US,1,72,634,1,Inactive
157560,US,1,60,618,1,Inactive
157595,AE,1,21600,657,1,Inactive
158029,GB,6,1160.4,4362,6,Inactive
158071,US,1,132,664,1,Active
15817,IT,1,864.48,1197,1,Active
15824,RO,1,30,1109,1,Inactive
158246,US,2,288,1895,2,Active
158456,US,1,288,752,1,Inactive
158638,US,1,84,616,1,Inactive
158715,TH,1,78,717,1,Inactive
158757,JP,1,72,760,1,Inactive
159030,CN,1,1504.8,770,1,Inactive
159198,US,1,780,731,1,Inactive
15943,US,1,132,920,1,Inactive
159639,US,1,132,693,1,Inactive
160290,SG,1,1641.6,727,1,Inactive
160297,US,1,2736,665,1,Inactive
160689,BR,1,148.2,933,1,Inactive
160738,BR,1,84,784,1,Inactive
161074,US,4,523.2,2863,4,Inactive
161095,US,1,72,613,1,Inactive
16111,IN,2,733.2,2210,2,Inactive
161123,US,3,4260,2042,3,Active
16118,US,1,72,959,1,Inactive
161277,US,1,570,600,1,Inactive
161557,US,4,3852,2752,3,Active
16160,TH,1,144,960,1,Inactive
161732,NZ,1,144,671,1,Inactive
161963,KR,4,4141.2,3022,2,Inactive
162292,US,1,96,774,1,Inactive
162348,US,1,68.4,582,1,Inactive
162425,US,1,150.48,735,1,Inactive
16279,CN,1,1048.8,1160,1,Inactive
162985,SC,1,57,775,1,Inactive
16314,US,2,408,2192,2,Inactive
163258,US,1,72,826,1,Inactive
163307,US,1,660000,967,1,Inactive
163335,JP,1,56.4,604,1,Inactive
16377,MX,1,68.4,1115,1,Inactive
164231,GB,2,106.44,1671,2,Inactive
164308,US,1,144,784,1,Inactive
164371,JP,1,102,918,1,Inactive
164490,JP,1,28.2,640,1,Inactive
164546,FR,2,3120,1339,2,Inactive
